DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
LA PESETA,116,079-11-305,2006-11-01,['11'],U,T,Calle,435845.0,4468666.0,[]
LUCERO,103,079-10-262,1993-07-01,['6'],U,T,Calle,436865.0,4473195.0,[]
VALDEBERNARDO,191,079-19-522,1993-07-01,['9'],U,T,Bulv,447364.0,4472553.0,[]
LACOMA,83,079-08-172,1993-07-01,['7'],U,T,Calle,438829.0,4482050.0,[]
AVENIDA DE LA ILUSTRACION,83,079-08-175,1993-07-01,['7'],U,T,Calle,439218.0,4481501.0,[]
VALDEZARZA,94,079-09-210,1993-07-01,['7'],U,T,Calle,439410.0,4479804.0,[]
COLOMBIA,54,079-05-094,1993-07-01,"['8', ' 9']",U,T,Calle,442713.0,4478964.0,[]
COLOMBIA,54,079-05-094,2002-01-01,"['8', ' 9']",U,T,Calle,442722.0,4478836.0,[]
LAS MUSAS,205,079-20-566,1993-07-01,['7'],U,N,Avda,448550.0,4476201.0,[]
DIEGO DE LEON,45,079-04-072,1993-07-01,"['4', ' 5', ' 6']",U,N,Calle,443032.0,4476237.0,[]
DIEGO DE LEON,45,079-04-072,1993-07-01,"['4', ' 5', ' 6']",U,N,Calle,442919.0,4476172.0,[]
NUÑEZ DE BALBOA,45,079-04-072,1993-07-01,"['5', ' 9']",U,N,Plaza,442484.0,4475928.0,[]
MONCLOA,91,079-09-226,1993-07-01,"['3', ' 6']",U,T,Plaza,439089.0,4476498.0,[]
REYES CATOLICOS,-1,134-012,2007-01-01,['10'],U,T,Avda,447326.0,4489241.0,[]
MANUEL DE FALLA,-1,006-003,2007-01-01,['10'],U,T,Calle,445338.0,4489267.0,[]
LA MORALEJA,-1,006-013,2007-01-01,['10'],U,T,Avda,446281.0,4487203.0,[]
LA GRANJA,-1,006-008,2007-01-01,['10'],U,T,Calle,444327.0,4486734.0,[]
HOSPITAL INFANTA SOFIA,-1,134-004,2007-01-01,['10'],U,T,Paseo,448344.0,4490276.0,[]
REPUBLICA ARGENTINA,51,079-05-096,1993-07-01,['6'],U,N,Calle,442098.0,4477448.0,[]
NUEVOS MINISTERIOS,62,079-06-120,2002-01-01,"['6', ' 8', ' 10']",U,T,Paseo,441392.0,4477760.0,"['C-1', ' C-10', ' C-2', ' C-3', ' C-4', ' C-7', ' C-8', ' C-8a']"
VENTAS,44,079-04-073,1993-07-01,"['2', ' 5']",U,N,Calle,443822.0,4476002.0,[]
PLAZA DE CASTILLA,64,079-06-109,1993-07-01,"['1', ' 9', ' 10']",U,P,Paseo,441684.0,4480016.0,[]
PLAZA DE CASTILLA,56,079-05-085,1993-07-01,"['1', ' 9', ' 10']",U,P,Paseo,441688.0,4480016.0,[]
PLAZA DE CASTILLA,56,079-05-085,1998-01-01,"['1', ' 9', ' 10']",U,P,Paseo,441692.0,4480016.0,[]
VILLAVERDE BAJO CRUCE,174,079-17-481,2007-01-01,['3'],U,T,Avda,441289.0,4467142.0,[]
PUERTA DE ARGANDA,191,079-19-531,1993-07-01,['9'],U,T,Calle,449536.0,4472679.0,"['C-2', ' C-7', ' C-8', ' C-8a']"
CHAMARTIN,56,079-05-086,1998-01-01,"['1', ' 10']",U,T,Calle,442247.0,4480589.0,"['C-1', ' C-10', ' C-2', ' C-3', ' C-4', ' C-7', ' C-8', ' C-8a']"
BEGOÑA,85,079-08-195,1998-01-01,['10'],U,N,Paseo,441978.0,4481514.0,[]
FERIA DE MADRID,215,079-21-578,1998-01-01,['8'],U,T,Avda,447868.0,4479637.0,[]
CHAMARTIN,56,079-05-086,2007-01-01,"['1', ' 10']",U,T,Calle,442247.0,4480581.0,"['C-1', ' C-10', ' C-2', ' C-3', ' C-4', ' C-7', ' C-8', ' C-8a']"
VICALVARO,191,079-19-526,1993-07-01,['9'],U,T,Calle,448445.0,4473009.0,[]
VENTAS,44,079-04-073,1993-07-01,"['2', ' 5']",U,N,Calle,443817.0,4476002.0,[]
FUENLABRADA CENTRAL,-1,058-024,2003-01-01,['12'],U,T,Calle,432197.0,4459646.0,['C-5']
EUGENIA DE MONTIJO,111,079-11-298,1998-01-01,['5'],U,T,Calle,436347.0,4470900.0,[]
ALSACIA,204,079-20-567,2011-03-16,['2'],U,T,Plaza,447213.0,4474579.0,[]
MIRASIERRA,87,079-08-159,2011-03-28,['9'],U,T,Avda,439402.0,4482720.0,[]
LA FORTUNA,-1,074-001,2010-10-05,['11'],U,T,Calle,434062.0,4467986.0,[]
LA ALMUDENA,152,079-15-424,2011-03-16,['2'],U,T,Calle,445891.0,4475180.0,[]
SAINZ DE BARANDA,36,079-03-056,1993-07-01,"['6', ' 9']",U,T,Calle,443307.0,4474246.0,[]
SAINZ DE BARANDA,36,079-03-056,1993-07-01,"['6', ' 9']",U,T,Calle,443307.0,4474250.0,[]
PIRAMIDES,22,079-02-027,1993-07-01,['5'],U,T,Paseo,439744.0,4472894.0,"['C-1', ' C-10']"
PITIS,87,079-08-158,1993-07-01,['7'],U,T,Ctra,438597.0,4483172.0,"['C-7', ' C-8', ' C-8a']"
LEGANES CENTRAL,-1,074-012,2003-01-01,['12'],U,T,Calle,434568.0,4464765.0,['C-5']
ALCORCON CENTRAL,-1,007-014,2003-01-01,['12'],U,T,Avda,429472.0,4467153.0,['C-5']
MOSTOLES CENTRAL,-1,092-009,2003-01-01,['12'],U,T,Paseo,426752.0,4464784.0,['C-5']
EL CASAR,-1,065-005,2003-01-01,"['3', ' 12']",U,T,Avda,439799.0,4463572.0,['C-3']
CASA DE CAMPO,91,079-09-224,2002-09-01,"['5', ' 10']",U,T,Ctra,435533.0,4473000.0,[]
CASA DE CAMPO,91,079-09-224,2002-10-22,"['5', ' 10']",U,T,Paseo,435533.0,4472996.0,[]
EL CASAR,-1,065-006,2025-05-20,"['3', ' 12']",U,T,Calle,439829.0,4463564.0,['C-3']
