DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
AVENIDA DE AMERICA,52,079-05-103,1993-07-01,"['4', ' 6', ' 7', ' 9']",U,N,Avda,442727.0,4476804.0,[]
AVENIDA DE AMERICA,52,079-05-103,1993-07-01,"['4', ' 6', ' 7', ' 9']",U,N,Avda,442732.0,4476804.0,[]
AVENIDA DE AMERICA,52,079-05-103,1993-07-01,"['4', ' 6', ' 7', ' 9']",U,N,Avda,442737.0,4476804.0,[]
MANUEL BECERRA,42,079-04-076,1993-07-01,"['2', ' 6']",U,N,Plaza,443340.0,4475675.0,[]
CUATRO CAMINOS,61,079-06-117,1993-07-01,"['1', ' 2', ' 6']",U,T,Gta,440412.0,4477814.0,[]
CUATRO CAMINOS,62,079-06-118,1993-07-01,"['1', ' 2', ' 6']",U,T,Gta,440416.0,4477814.0,[]
CUATRO CAMINOS,62,079-06-118,1993-07-01,"['1', ' 2', ' 6']",U,T,Gta,440421.0,4477814.0,[]
MANUEL BECERRA,42,079-04-076,1993-07-01,"['2', ' 6']",U,N,Plaza,443344.0,4475675.0,[]
COLONIA JARDIN,105,079-10-249,2002-10-22,['10'],U,T,Calle,434373.0,4472315.0,[]
HORTALEZA,164,079-16-445,2007-01-01,['4'],U,T,Calle,444794.0,4480933.0,[]
RIVAS VACIAMADRID,-1,123-006,1999-04-07,['9'],U,T,Calle,455885.0,4464542.0,[]
ALVARADO,62,079-06-118,1993-07-01,['1'],U,N,Calle,440471.0,4478187.0,[]
PLAZA DE ESPAÑA,92,079-09-231,1993-07-01,"['2', ' 3', ' 10']",U,T,Plaza,439778.0,4475204.0,[]
VENTURA RODRIGUEZ,15,079-01-006,1993-07-01,['3'],U,T,Calle,439594.0,4475613.0,[]
LAS TABLAS,86,079-08-152,2007-01-01,['10'],U,T,Calle,443392.0,4484602.0,[]
TRES OLIVOS,86,079-08-148,2007-01-01,['10'],U,T,Acces,441203.0,4483828.0,[]
MARQUES DE LA VALDAVIA,-1,006-009,2007-01-01,['10'],U,T,Calle,446134.0,4488211.0,[]
BAUNATAL,-1,134-010,2007-01-01,['10'],U,T,Avda,446336.0,4489697.0,[]
BUENOS AIRES,135,079-13-345,1993-07-01,['1'],U,N,Avda,444612.0,4471631.0,[]
PUENTE DE VALLECAS,132,079-13-351,1993-07-01,['1'],U,N,Avda,443332.0,4472377.0,[]
PAVONES,141,079-14-394,1993-07-01,['9'],U,T,Calle,446214.0,4472613.0,[]
VILLAVERDE ALTO,171,079-17-484,2007-01-01,['3'],U,T,Calle,439638.0,4466082.0,"['C-4', ' C-5']"
ESTACION DEL ARTE,12,079-01-023,1993-07-01,['1'],U,N,Plaza,441353.0,4473575.0,[]
ATOCHA,27,079-02-033,1993-07-01,['1'],U,T,Avda,441615.0,4473322.0,"['C-1', ' C-10', ' C-2', ' C-3', ' C-4', ' C-5', ' C-7', ' C-8', ' C-8a']"
OPERA,11,079-01-012,1993-07-01,"['2', ' 5', ' R']",U,T,Plaza,439924.0,4474612.0,[]
ALONSO MARTINEZ,73,079-07-139,1993-07-01,"['4', ' 5', ' 10']",U,N,Plaza,441076.0,4475672.0,[]
TETUAN,63,079-06-112,1993-07-01,['1'],U,N,Calle,440909.0,4479318.0,[]
LA GAVIA,181,079-18-512,2007-01-01,['1'],U,T,Avda,448028.0,4469234.0,[]
COLON,74,079-07-140,1993-07-01,['4'],U,N,Plaza,441493.0,4475413.0,[]
SEVILLA,13,079-01-015,1993-07-01,['2'],U,T,Calle,440787.0,4474601.0,[]
GOYA,42,079-04-075,1993-07-01,"['2', ' 4']",U,T,Calle,442773.0,4475306.0,[]
PRINCIPE DE VERGARA,42,079-04-075,1993-07-01,"['2', ' 9']",U,T,Calle,442414.0,4475131.0,[]
RETIRO,35,079-03-047,1993-07-01,['2'],U,N,Calle,441892.0,4474842.0,[]
BANCO DE ESPAÑA,14,079-01-010,1993-07-01,['2'],U,N,Calle,441152.0,4474728.0,[]
SANTO DOMINGO,11,079-01-012,1993-07-01,['2'],U,N,Calle,440051.0,4474969.0,[]
SAN BLAS,203,079-20-564,1993-07-01,['7'],U,N,Calle,447903.0,4475651.0,[]
SIMANCAS,201,079-20-561,1993-07-01,['7'],U,N,Calle,447033.0,4475657.0,[]
PINAR DE CHAMARTIN,159,079-15-397,2007-01-01,"['1', ' 4']",U,T,Calle,443592.0,4481471.0,[]
PINAR DE CHAMARTIN,159,079-15-397,2007-01-01,"['1', ' 4']",U,T,Calle,443595.0,4481471.0,[]
ESTADIO METROPOLITANO,205,079-20-555,2007-01-01,['7'],U,T,Avda,449206.0,4476242.0,[]
AEROPUERTO T-4,212,079-21-585,2007-01-01,['8'],U,T,Ctra,449835.0,4482717.0,"['C-1', ' C-10']"
RIVAS FUTURA,-1,123-004,2008-07-09,['9'],U,T,Calle,455537.0,4465984.0,[]
ALAMEDA DE OSUNA,211,079-21-581,2006-11-01,['5'],U,T,Calle,450295.0,4478943.0,[]
HOSPITAL 12 DE OCTUBRE,122,079-12-326,2007-01-01,['3'],U,T,Avda,441038.0,4469823.0,[]
ALMENDRALES,124,079-12-325,2007-01-01,['3'],U,T,Avda,440873.0,4470831.0,[]
VICENTE ALEIXANDRE,93,079-09-221,1993-07-01,['6'],U,N,Avda,439101.0,4477766.0,[]
PUERTA DEL ANGEL,102,079-10-268,1993-07-01,['6'],U,N,Paseo,438409.0,4474159.0,[]
ALTO DE EXTREMADURA,102,079-10-265,1993-07-01,['6'],U,N,Paseo,437413.0,4473726.0,[]
TIRSO DE MOLINA,12,079-01-019,1993-07-01,['1'],U,N,Plaza,440323.0,4473971.0,[]
LAVAPIES,12,079-01-020,1993-07-01,['3'],U,T,Plaza,440638.0,4473543.0,[]
GETAFE CENTRAL,-1,065-018,2003-01-01,['12'],U,T,Calle,437737.0,4462623.0,['C-4']
RIOS ROSAS,75,079-07-129,1993-07-01,['1'],U,N,Calle,440632.0,4477258.0,[]
