DENOMINACION,BARRIO,CORONATARIFARIA,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
AEROPUERTO T1-T2-T3,212,A,1998-01-01,U,T,Avda,451828.0,4480138.0,[],"[{'linea': '8', 'orden': 6}]"
AVENIDA DE AMERICA,52,A,1993-07-01,U,N,Avda,442722.0,4476803.0,[],"[{'linea': '4', 'orden': 11}, {'linea': '6', 'orden': 14}, {'linea': '7', 'orden': 14}, {'linea': '9', 'orden': 12}]"
MANUEL BECERRA,42,A,1993-07-01,U,N,Plaza,443340.0,4475675.0,[],"[{'linea': '2', 'orden': 7}, {'linea': '6', 'orden': 16}]"
CUATRO CAMINOS,61,A,1993-07-01,U,T,Gta,440412.0,4477814.0,[],"[{'linea': '1', 'orden': 9}, {'linea': '2', 'orden': 20}, {'linea': '6', 'orden': 11}]"
COLONIA JARDIN,105,A,2002-10-22,U,T,Calle,434373.0,4472315.0,[],"[{'linea': '10', 'orden': 27}]"
HORTALEZA,164,A,2007-01-01,U,T,Calle,444794.0,4480933.0,[],"[{'linea': '4', 'orden': 21}]"
RIVAS VACIAMADRID,-1,B2,1999-04-07,U,T,Calle,455885.0,4464542.0,[],"[{'linea': '9', 'orden': 26}]"
ALVARADO,62,A,1993-07-01,U,N,Calle,440471.0,4478187.0,[],"[{'linea': '1', 'orden': 8}]"
PLAZA DE ESPAÑA,92,A,1993-07-01,U,T,Plaza,439778.0,4475204.0,[],"[{'linea': '3', 'orden': 16}, {'linea': '10', 'orden': 22}]"
VENTURA RODRIGUEZ,15,A,1993-07-01,U,T,Calle,439594.0,4475613.0,[],"[{'linea': '3', 'orden': 17}]"
LAS TABLAS,86,A,2007-01-01,U,T,Calle,443392.0,4484602.0,[],"[{'linea': '10', 'orden': 9}]"
TRES OLIVOS,86,A,2007-01-01,U,T,Acces,441203.0,4483828.0,[],"[{'linea': '10', 'orden': 11}]"
MARQUES DE LA VALDAVIA,-1,B1,2007-01-01,U,T,Calle,446134.0,4488211.0,[],"[{'linea': '10', 'orden': 5}]"
BAUNATAL,-1,B1,2007-01-01,U,T,Avda,446336.0,4489697.0,[],"[{'linea': '10', 'orden': 3}]"
BUENOS AIRES,135,A,1993-07-01,U,N,Avda,444612.0,4471631.0,[],"[{'linea': '1', 'orden': 24}]"
PUENTE DE VALLECAS,132,A,1993-07-01,U,N,Avda,443332.0,4472377.0,[],"[{'linea': '1', 'orden': 21}]"
PAVONES,141,A,1993-07-01,U,T,Calle,446214.0,4472613.0,[],"[{'linea': '9', 'orden': 20}]"
